DATE,NHUR,VTUR,MAUR,CTUR,RIUR,PAUR,MDUR,NJUR,DEUR,VAUR,WVUR,DCUR
1976-01-01,6.5,8.6,10.5,9.8,7.8,8.0,6.4,10.3,8.0,6.1,7.5,8.7
1976-02-01,6.5,8.6,10.5,9.8,7.8,8.100,6.4,10.3,8.0,6.1,7.5,8.7
1976-03-01,6.5,8.6,10.5,9.800,7.7,8.100,6.4,10.3,8.0,6.1,7.5,8.6
1976-04-01,6.5,8.6,10.3,9.6,7.7,8.1,6.4,10.300,8.1,6.0,7.5,8.5
1976-05-01,6.5,8.5,10.1,9.4,7.7,8.100,6.5,10.300,8.3,5.9,7.4,8.4
1976-06-01,6.500,8.4,9.8,9.3,7.7,8.000,6.5,10.3,8.6,5.800,7.4,8.3
1976-07-01,6.400,8.300,9.6,9.1,7.8,7.900,6.6,10.400,8.8,5.800,7.2,8.4
1976-08-01,6.4,8.200,9.4,9.0,8.0,7.9,6.6,10.4,8.9,5.800,7.1,8.5
1976-09-01,6.300,8.000,9.2,8.8,8.2,7.9,6.700,10.4,9.0,5.800,6.9,8.7
1976-10-01,6.300,7.900,9.1,8.7,8.400,7.9,6.7,10.5,9.1,5.7,6.8,8.8
1976-11-01,6.300,7.7,9.0,8.500,8.6,8.0,6.7,10.5,9.2,5.7,6.9,8.9
1976-12-01,6.4,7.7,8.9,8.300,8.7,8.1,6.7,10.6,9.2,5.6,7.0,8.9
1977-01-01,6.4,7.6,8.8,8.2,8.8,8.1,6.7,10.5,9.2,5.6,7.1,8.9
1977-02-01,6.3,7.5,8.6,7.900,8.8,8.1,6.6,10.4,9.1,5.6,7.1,8.8
1977-03-01,6.2,7.4,8.5,7.7,8.6,8.0,6.5,10.2,8.9,5.5,7.1,8.7
1977-04-01,6.1,7.3,8.3,7.5,8.5,7.9,6.3,9.9,8.7,5.5,7.0,8.7
1977-05-01,5.9,7.1,8.1,7.200,8.3,7.8,6.200,9.6,8.4,5.4,6.900,8.7
1977-06-01,5.7,7.000,7.900,7.000,8.100,7.7,6.0,9.400,8.2,5.400,6.8,8.7
1977-07-01,5.5,6.9,7.800,6.800,8.000,7.7,5.9,9.100,8.0,5.4,6.800,8.7
1977-08-01,5.3,6.8,7.600,6.700,7.8,7.6,5.9,8.9,7.8,5.4,6.800,8.7
1977-09-01,5.1,6.8,7.5,6.5,7.7,7.6,5.8,8.7,7.7,5.4,6.8,8.6
1977-10-01,4.9,6.7,7.3,6.3,7.5,7.5,5.8,8.5,7.5,5.4,6.900,8.5
1977-11-01,4.8,6.6,7.1,6.1,7.3,7.5,5.8,8.2,7.4,5.4,6.900,8.3
1977-12-01,4.6,6.4,6.9,6.000,7.1,7.4,5.8,8.000,7.3,5.400,6.8,8.2
1978-01-01,4.400,6.3,6.700,5.8,6.9,7.4,5.800,7.7,7.2,5.400,6.7,8.1
1978-02-01,4.200,6.1,6.500,5.6,6.7,7.3,5.7,7.600,7.1,5.4,6.600,8.0
1978-03-01,4.100,5.9,6.400,5.5,6.6,7.2,5.7,7.400,7.1,5.4,6.300,8.0
1978-04-01,4.000,5.8,6.300,5.4,6.4,7.1,5.6,7.400,7.1,5.300,6.1,7.9
1978-05-01,3.900,5.7,6.2,5.3,6.3,7.0,5.6,7.300,7.1,5.300,6.0,7.9
1978-06-01,3.900,5.6,6.1,5.2,6.2,6.9,5.5,7.2,7.1,5.300,6.0,7.8
1978-07-01,3.800,5.500,6.0,5.2,6.1,6.800,5.5,7.200,7.1,5.2,6.1,7.7
1978-08-01,3.700,5.400,6.0,5.1,6.1,6.800,5.5,7.100,7.0,5.2,6.2,7.7
1978-09-01,3.600,5.400,6.000,5.100,6.1,6.9,5.5,7.0,7.0,5.2,6.4,7.6
1978-10-01,3.500,5.400,5.9,5.100,6.1,6.9,5.6,7.000,7.0,5.200,6.5,7.6
1978-11-01,3.400,5.400,5.9,5.1,6.1,6.9,5.600,7.000,7.0,5.200,6.6,7.6
1978-12-01,3.300,5.400,5.9,5.1,6.1,6.9,5.700,7.000,7.1,5.200,6.6,7.6
1979-01-01,3.3,5.4,5.9,5.1,6.2,6.9,5.800,7.0,7.1,5.100,6.6,7.6
1979-02-01,3.200,5.300,5.8,5.2,6.200,6.9,5.800,6.9,7.1,5.000,6.7,7.6
1979-03-01,3.100,5.200,5.7,5.1,6.3,6.9,5.800,6.9,7.1,4.900,6.8,7.4
1979-04-01,3.000,5.0,5.6,5.1,6.300,6.9,5.800,6.900,7.0,4.800,7.0,7.2
1979-05-01,2.9,4.9,5.500,5.1,6.400,6.9,5.800,6.8,7.0,4.700,7.1,7.0
1979-06-01,2.9,4.8,5.400,5.0,6.400,6.9,5.800,6.8,6.9,4.700,7.3,6.8
1979-07-01,2.9,4.8,5.4,5.000,6.3,6.9,5.800,6.9,6.9,4.600,7.4,6.6
1979-08-01,3.0,4.8,5.300,5.000,6.3,7.0,5.800,6.9,6.9,4.600,7.6,6.5
1979-09-01,3.2,4.9,5.300,5.1,6.3,7.1,5.800,6.9,6.9,4.600,7.7,6.4
1979-10-01,3.3,4.9,5.300,5.1,6.3,7.1,5.700,6.900,7.0,4.600,7.8,6.4
1979-11-01,3.400,4.9,5.300,5.1,6.4,7.1,5.700,6.800,6.9,4.6,7.9,6.3
1979-12-01,3.4,4.9,5.300,5.100,6.4,7.100,5.700,6.7,6.9,4.500,8.0,6.3
1980-01-01,3.5,5.0,5.300,5.100,6.5,7.2,5.7,6.6,6.8,4.500,8.2,6.400
1980-02-01,3.700,5.1,5.3,5.200,6.7,7.4,5.9,6.6,6.9,4.600,8.6,6.500
1980-03-01,3.9,5.4,5.500,5.300,6.8,7.6,6.200,6.7,7.0,4.800,9.0,6.7
1980-04-01,4.2,5.7,5.600,5.500,7.100,8.0,6.500,6.900,7.2,5.0,9.5,7.0
1980-05-01,4.600,6.0,5.8,5.700,7.3,8.3,6.700,7.1,7.500,5.2,10.0,7.2
1980-06-01,4.800,6.3,6.0,5.8,7.5,8.6,6.900,7.3,7.8,5.4,10.5,7.5
1980-07-01,5.000,6.4,6.0,5.9,7.7,8.8,7.0,7.4,7.900,5.5,10.8,7.7
1980-08-01,5.000,6.5,6.0,5.9,7.7,8.7,7.0,7.5,8.000,5.4,11.0,7.8
1980-09-01,5.000,6.4,6.0,5.9,7.6,8.6,6.9,7.5,7.9,5.3,11.0,8.000
1980-10-01,4.900,6.3,5.9,5.9,7.5,8.300,6.9,7.5,7.8,5.2,11.0,8.1
1980-11-01,4.8,6.1,5.9,5.9,7.300,8.2,6.8,7.5,7.7,5.200,11.0,8.1
1980-12-01,4.7,6.0,5.9,5.9,7.200,8.0,6.700,7.500,7.7,5.200,11.0,8.2
1981-01-01,4.7,5.8,5.9,6.0,7.1,8.0,6.700,7.5,7.7,5.300,11.1,8.2
1981-02-01,4.7,5.800,6.0,6.0,7.1,8.0,6.6,7.5,7.700,5.500,11.2,8.2
1981-03-01,4.7,5.700,6.0,6.0,7.1,8.000,6.7,7.500,7.700,5.600,11.2,8.3
1981-04-01,4.7,5.600,6.1,6.100,7.2,8.1,6.7,7.500,7.700,5.7,11.100,8.4
1981-05-01,4.7,5.6,6.1,6.100,7.2,8.100,6.7,7.400,7.600,5.800,10.9,8.5
1981-06-01,4.7,5.6,6.2,6.100,7.3,8.100,6.8,7.4,7.5,5.8,10.6,8.6
1981-07-01,4.9,5.700,6.3,6.100,7.4,8.1,7.0,7.3,7.5,5.900,10.2,8.7
1981-08-01,5.0,5.800,6.5,6.2,7.6,8.3,7.1,7.3,7.6,6.000,10.0,8.8
1981-09-01,5.2,5.900,6.6,6.3,7.8,8.5,7.3,7.4,7.8,6.1,9.9,8.9
1981-10-01,5.500,6.1,6.8,6.4,8.0,8.7,7.6,7.6,8.0,6.3,10.000,9.0
1981-11-01,5.8,6.2,7.0,6.5,8.3,9.1,7.8,7.8,8.2,6.5,10.3,9.2
1981-12-01,6.1,6.4,7.2,6.6,8.6,9.4,8.0,8.1,8.4,6.8,10.6,9.4
1982-01-01,6.3,6.6,7.4,6.7,9.000,9.7,8.2,8.300,8.5,7.000,10.9,9.6
1982-02-01,6.6,6.7,7.5,6.8,9.3,9.9,8.3,8.4,8.5,7.1,11.3,9.8
1982-03-01,6.8,6.800,7.6,6.8,9.6,10.1,8.4,8.5,8.5,7.2,11.7,9.9
1982-04-01,6.9,6.8,7.7,6.800,9.8,10.3,8.400,8.6,8.4,7.2,12.3,10.1
1982-05-01,7.0,6.9,7.800,6.9,9.9,10.4,8.3,8.600,8.3,7.300,12.8,10.2
1982-06-01,7.1,6.9,7.800,6.900,10.0,10.6,8.300,8.600,8.2,7.300,13.4,10.2
1982-07-01,7.0,6.9,7.800,6.900,10.1,10.9,8.200,8.600,8.2,7.400,14.1,10.3
1982-08-01,7.0,6.8,7.9,6.900,10.2,11.2,8.200,8.7,8.200,7.500,14.7,10.4
1982-09-01,7.0,6.9,8.0,6.9,10.4,11.5,8.200,8.9,8.3,7.600,15.4,10.600
1982-10-01,7.0,6.9,8.0,6.9,10.5,11.8,8.200,9.0,8.4,7.7,16.6,10.8
1982-11-01,6.900,7.0,8.0,6.9,10.6,12.1,8.200,9.1,8.4,7.8,17.4,11.0
1982-12-01,6.800,7.0,8.0,6.9,10.5,12.3,8.2,9.2,8.4,7.8,17.9,11.2
1983-01-01,6.700,7.1,8.0,6.8,10.2,12.4,8.1,9.1,8.4,7.6,18.3,11.3
1983-02-01,6.500,7.0,7.9,6.7,9.9,12.3,7.900,9.0,8.4,7.4,18.4,11.3
1983-03-01,6.2,7.0,7.7,6.6,9.5,12.2,7.700,8.9,8.4,7.1,18.4,11.300
1983-04-01,6.000,6.900,7.5,6.4,9.2,11.9,7.500,8.7,8.3,6.9,18.2,11.2
1983-05-01,5.700,6.8,7.3,6.2,8.9,11.6,7.3,8.6,8.2,6.6,18.0,11.1
1983-06-01,5.500,6.6,7.0,6.100,8.6,11.3,7.1,8.4,8.1,6.4,17.8,11.1
1983-07-01,5.300,6.5,6.8,5.9,8.4,11.0,6.8,8.2,7.9,6.2,17.4,11.0
1983-08-01,5.100,6.4,6.6,5.8,8.1,10.7,6.6,8.0,7.8,6.0,17.0,10.9
1983-09-01,5.0,6.2,6.400,5.6,7.700,10.4,6.4,7.7,7.600,5.8,16.6,10.7
1983-10-01,4.800,6.1,6.200,5.5,7.3,10.1,6.2,7.5,7.5,5.6,16.1,10.5
1983-11-01,4.700,6.0,6.0,5.3,7.000,9.8,5.9,7.2,7.200,5.400,15.5,10.3
1983-12-01,4.500,5.9,5.8,5.2,6.7,9.6,5.7,7.0,7.000,5.2,15.1,10.1
1984-01-01,4.400,5.7,5.6,5.1,6.4,9.4,5.6,6.8,6.700,5.100,14.6,9.9
1984-02-01,4.2,5.6,5.4,4.9,6.2,9.3,5.500,6.7,6.4,5.000,14.3,9.6
1984-03-01,4.1,5.4,5.2,4.8,6.0,9.1,5.4,6.5,6.3,5.000,14.1,9.3
1984-04-01,4.1,5.2,5.0,4.7,5.8,9.1,5.400,6.4,6.2,5.000,13.9,9.1
1984-05-01,4.1,5.0,4.9,4.6,5.5,9.0,5.400,6.3,6.2,5.000,13.8,8.9
1984-06-01,4.1,4.8,4.700,4.6,5.3,9.0,5.400,6.3,6.2,5.000,13.8,8.8
1984-07-01,4.1,4.7,4.6,4.6,5.0,8.9,5.400,6.200,6.2,5.000,13.8,8.7
1984-08-01,4.2,4.6,4.5,4.5,4.8,8.9,5.3,6.2,6.2,5.100,13.9,8.6
1984-09-01,4.2,4.5,4.5,4.5,4.7,8.8,5.300,6.1,6.2,5.100,14.1,8.5
1984-10-01,4.300,4.5,4.4,4.5,4.6,8.7,5.200,6.0,6.1,5.1,14.2,8.5
1984-11-01,4.300,4.5,4.3,4.5,4.7,8.600,5.100,5.9,6.0,5.200,14.3,8.4
1984-12-01,4.300,4.5,4.2,4.5,4.8,8.4,5.1,5.8,5.9,5.2,14.3,8.3
1985-01-01,4.200,4.5,4.2,4.5,4.9,8.3,5.000,5.8,5.8,5.300,14.2,8.3
1985-02-01,4.200,4.6,4.2,4.5,5.000,8.300,4.900,5.700,5.800,5.400,14.0,8.3
1985-03-01,4.100,4.6,4.2,4.5,5.000,8.200,4.9,5.700,5.7,5.4,13.8,8.3
1985-04-01,4.000,4.7,4.2,4.6,5.0,8.200,4.800,5.700,5.500,5.5,13.6,8.3
1985-05-01,3.900,4.7,4.2,4.6,4.9,8.200,4.700,5.700,5.4,5.600,13.500,8.3
1985-06-01,3.800,4.7,4.2,4.5,4.8,8.100,4.7,5.600,5.200,5.6,13.300,8.2
1985-07-01,3.6,4.7,4.2,4.5,4.7,8.000,4.600,5.600,5.1,5.6,13.100,8.1
1985-08-01,3.5,4.7,4.2,4.4,4.6,8.0,4.500,5.500,4.900,5.5,12.900,7.9
1985-09-01,3.3,4.6,4.1,4.3,4.5,7.800,4.400,5.500,4.8,5.4,12.7,7.7
1985-10-01,3.2,4.5,4.1,4.2,4.300,7.700,4.4,5.500,4.600,5.3,12.4,7.5
1985-11-01,3.1,4.4,4.0,4.1,4.200,7.600,4.300,5.500,4.5,5.2,12.2,7.400
1985-12-01,3.0,4.3,4.0,4.000,4.0,7.600,4.300,5.500,4.5,5.1,12.1,7.300
1986-01-01,3.0,4.3,4.0,3.900,3.9,7.500,4.4,5.500,4.5,5.100,12.1,7.200
1986-02-01,3.0,4.3,4.0,3.900,3.9,7.500,4.400,5.5,4.6,5.0,12.2,7.200
1986-03-01,3.0,4.3,4.0,3.900,3.9,7.400,4.400,5.400,4.7,5.0,12.2,7.300
1986-04-01,3.000,4.4,4.0,3.900,3.9,7.4,4.500,5.4,4.7,5.0,12.3,7.4
1986-05-01,2.900,4.4,4.1,3.8,4.0,7.200,4.500,5.3,4.7,5.0,12.3,7.5
1986-06-01,2.800,4.300,4.1,3.8,4.100,7.1,4.500,5.200,4.5,5.0,12.3,7.5
1986-07-01,2.6,4.300,4.1,3.7,4.2,7.0,4.600,5.100,4.3,4.9,12.2,7.4
1986-08-01,2.5,4.3,4.000,3.7,4.2,6.8,4.600,4.900,4.0,4.9,12.1,7.4
1986-09-01,2.3,4.3,4.0,3.7,4.3,6.7,4.700,4.800,3.8,4.9,11.9,7.4
1986-10-01,2.3,4.3,3.900,3.6,4.2,6.5,4.700,4.600,3.6,4.9,11.8,7.4
1986-11-01,2.3,4.3,3.9,3.6,4.2,6.4,4.700,4.4,3.4,4.9,11.7,7.4
1986-12-01,2.2,4.3,3.9,3.6,4.1,6.3,4.6,4.300,3.300,4.8,11.6,7.3
1987-01-01,2.2,4.2,3.8,3.5,4.1,6.1,4.5,4.2,3.200,4.8,11.5,7.2
1987-02-01,2.200,4.2,3.7,3.5,4.0,6.0,4.5,4.200,3.200,4.7,11.4,7.0
1987-03-01,2.1,4.1,3.6,3.4,4.0,5.9,4.4,4.1,3.100,4.6,11.3,6.800
1987-04-01,2.1,4.0,3.5,3.3,3.9,5.8,4.3,4.1,3.100,4.4,11.2,6.5
1987-05-01,2.1,3.9,3.4,3.2,3.9,5.8,4.300,4.1,3.0,4.3,11.1,6.400
1987-06-01,2.1,3.8,3.3,3.1,3.8,5.7,4.2,4.1,3.000,4.2,11.0,6.2
1987-07-01,2.2,3.7,3.2,3.0,3.7,5.7,4.200,4.0,2.9,4.0,10.9,6.1
1987-08-01,2.3,3.600,3.2,3.0,3.600,5.7,4.200,4.0,2.9,3.9,10.800,6.0
1987-09-01,2.3,3.500,3.1,2.9,3.500,5.600,4.2,4.000,2.9,3.900,10.700,5.9
1987-10-01,2.3,3.5,3.1,2.9,3.400,5.6,4.300,3.9,3.0,3.8,10.7,5.8
1987-11-01,2.3,3.4,3.1,2.9,3.3,5.6,4.300,3.900,3.0,3.8,10.600,5.7
1987-12-01,2.3,3.3,3.100,2.9,3.2,5.5,4.3,3.8,3.1,3.8,10.500,5.600
1988-01-01,2.300,3.100,3.2,2.8,3.1,5.400,4.3,3.800,3.1,3.800,10.400,5.500
1988-02-01,2.2,3.0,3.2,2.8,2.9,5.4,4.3,3.800,3.0,3.800,10.4,5.400
1988-03-01,2.200,2.900,3.2,2.800,2.8,5.3,4.3,3.7,2.9,3.800,10.3,5.300
1988-04-01,2.2,2.9,3.200,2.800,2.7,5.2,4.2,3.7,2.9,3.8,10.200,5.200
1988-05-01,2.300,2.800,3.200,2.8,2.7,5.2,4.2,3.7,2.8,3.900,10.100,5.100
